Brand_Acc,createddate,salesid,subtotal,totaldiscount,osschannelid,dwinf_salesactivity,dataareaid,Transaction_ID,Medium,Date,Product_Revenue
B000688934,06JUN2017:00:00:00.000,SO01946970,139.99,139.99,Web,RECR,au,o450941366,organic,06/06/2017,$266.78
B000678688,06JUN2017:00:00:00.000,SO01947002,213.12,228.11,Web,RT,au,o433868133,organic,06/06/2017,$406.14
B000012346,06JUN2017:00:00:00.000,SO01947032,179.88,174.87,Web,RT,au,o232270995,organic,06/06/2017,$342.80
B000552629,07JUN2017:00:00:00.000,SO01947583,497.64,497.64,Web,RT,au,o425366273,organic,07/06/2017,$948.35
B000531780,07JUN2017:00:00:00.000,SO01947936,139.99,139.99,Web,RECR,au,o451850076,organic,07/06/2017,$266.78
B000141484,08JUN2017:00:00:00.000,SO01948036,311.76,311.76,Web,RT,au,o317599878,organic,08/06/2017,$594.12
B000484079,08JUN2017:00:00:00.000,SO01948612,314.73,314.73,Web,RT,au,o392685520,organic,08/06/2017,$599.78
B000567752,10JUN2017:00:00:00.000,SO01950896,259.76,279.74,Web,RT,au,o413929694,organic,10/06/2017,$514.08
B000587194,10JUN2017:00:00:00.000,SO01951001,139.99,139.99,Web,RECR,au,o341598112,organic,10/06/2017,$266.78
B000208574,11JUN2017:00:00:00.000,SO01951306,338.73,338.73,Web,RT,au,o368184100,organic,11/06/2017,$645.51
B000538008,11JUN2017:00:00:00.000,SO01951356,139.99,139.99,Web,RECR,au,o355579343,organic,11/06/2017,$266.78
B000336304,12JUN2017:00:00:00.000,SO01951515,139.99,139.99,Web,RECR,au,o437466742,organic,12/06/2017,$266.78
B000664234,12JUN2017:00:00:00.000,SO01951529,299.76,299.76,Web,RT,au,o455079483,organic,12/06/2017,$571.25
B000507130,12JUN2017:00:00:00.000,SO01951597,506.61,506.61,Web,RT,au,o432625943,organic,12/06/2017,$965.44
B000690079,13JUN2017:00:00:00.000,SO01952232,139.99,139.99,Web,RECR,au,o456279189,organic,13/06/2017,$266.78
B000399675,16JUN2017:00:00:00.000,SO01954091,179.88,194.87,Web,RT,au,o438530320,organic,16/06/2017,$342.80
B000687916,16JUN2017:00:00:00.000,SO01954107,139.99,139.99,Web,RECR,au,o447514361,organic,16/06/2017,$266.78
B000690784,16JUN2017:00:00:00.000,SO01955911,139.99,139.99,Web,RECR,au,o458511035,organic,16/06/2017,$266.78
